file_path,label,set_type
train\def_front\cast_def_0_0.jpeg,1,train
train\def_front\cast_def_0_1000.jpeg,1,train
train\def_front\cast_def_0_1001.jpeg,1,train
train\def_front\cast_def_0_1004.jpeg,1,train
train\def_front\cast_def_0_1007.jpeg,1,train
train\def_front\cast_def_0_1008.jpeg,1,train
train\def_front\cast_def_0_1014.jpeg,1,train
train\def_front\cast_def_0_1016.jpeg,1,train
train\def_front\cast_def_0_1019.jpeg,1,train
train\def_front\cast_def_0_1020.jpeg,1,train
train\def_front\cast_def_0_1021.jpeg,1,train
train\def_front\cast_def_0_1025.jpeg,1,train
train\def_front\cast_def_0_103.jpeg,1,train
train\def_front\cast_def_0_1031.jpeg,1,train
train\def_front\cast_def_0_1037.jpeg,1,train
train\def_front\cast_def_0_1038.jpeg,1,train
train\def_front\cast_def_0_1042.jpeg,1,train
train\def_front\cast_def_0_1043.jpeg,1,train
train\def_front\cast_def_0_1046.jpeg,1,train
train\def_front\cast_def_0_1048.jpeg,1,train
train\def_front\cast_def_0_105.jpeg,1,train
train\def_front\cast_def_0_1053.jpeg,1,train
train\def_front\cast_def_0_1055.jpeg,1,train
train\def_front\cast_def_0_1056.jpeg,1,train
train\def_front\cast_def_0_1059.jpeg,1,train
train\def_front\cast_def_0_1060.jpeg,1,train
train\def_front\cast_def_0_1061.jpeg,1,train
train\def_front\cast_def_0_1066.jpeg,1,train
train\def_front\cast_def_0_1069.jpeg,1,train
train\def_front\cast_def_0_107.jpeg,1,train
train\def_front\cast_def_0_1070.jpeg,1,train
train\def_front\cast_def_0_1074.jpeg,1,train
train\def_front\cast_def_0_1077.jpeg,1,train
train\def_front\cast_def_0_1082.jpeg,1,train
train\def_front\cast_def_0_1084.jpeg,1,train
train\def_front\cast_def_0_1085.jpeg,1,train
train\def_front\cast_def_0_1086.jpeg,1,train
train\def_front\cast_def_0_1087.jpeg,1,train
train\def_front\cast_def_0_1088.jpeg,1,train
train\def_front\cast_def_0_109.jpeg,1,train
train\def_front\cast_def_0_1090.jpeg,1,train
train\def_front\cast_def_0_1092.jpeg,1,train
train\def_front\cast_def_0_1094.jpeg,1,train
